Etime	Time	CO2 (µmol/mol)
0	2021-06-01 12:05:05	0.2
1	2021-06-01 12:05:06	0.16
2	2021-06-01 12:05:07	0.16
3	2021-06-01 12:05:08	0.2
4	2021-06-01 12:05:09	0.19
5	2021-06-01 12:05:10	0.18
--------------------------------------------------------------
X12C
--------------------------------------------------------------
6	2021-06-01 12:05:11	0.15
7	2021-06-01 12:05:12	0.18
8	2021-06-01 12:05:13	0.23
9	2021-06-01 12:05:14	0.18
10	2021-06-01 12:05:15	0.16
11	2021-06-01 12:05:16	0.13
12	2021-06-01 12:05:17	0.05
13	2021-06-01 12:05:18	0.09
14	2021-06-01 12:05:19	0.14
15	2021-06-01 12:05:20	0.11
16	2021-06-01 12:05:21	0.17
17	2021-06-01 12:05:22	0.15
18	2021-06-01 12:05:23	0.14
19	2021-06-01 12:05:24	0.18
20	2021-06-01 12:05:25	0.15
21	2021-06-01 12:05:26	0.18
22	2021-06-01 12:05:27	0.16
23	2021-06-01 12:05:28	0.17
24	2021-06-01 12:05:29	0.06
25	2021-06-01 12:05:30	-0.03
26	2021-06-01 12:05:31	0.05
27	2021-06-01 12:05:32	0.06
28	2021-06-01 12:05:33	0.18
29	2021-06-01 12:05:34	0.21
30	2021-06-01 12:05:35	0.18
31	2021-06-01 12:05:36	0.11
32	2021-06-01 12:05:37	-0.03
33	2021-06-01 12:05:38	-0.08
34	2021-06-01 12:05:39	-0.16
35	2021-06-01 12:05:40	0.47
36	2021-06-01 12:05:41	12.52
37	2021-06-01 12:05:42	20
38	2021-06-01 12:05:43	19.13
39	2021-06-01 12:05:44	17.68
40	2021-06-01 12:05:45	5.53
41	2021-06-01 12:05:46	-1.99
42	2021-06-01 12:05:47	-1.02
43	2021-06-01 12:05:48	0.02
44	2021-06-01 12:05:49	0.19
45	2021-06-01 12:05:50	0.24
46	2021-06-01 12:05:51	0.29
47	2021-06-01 12:05:52	0.05
48	2021-06-01 12:05:53	0.14
49	2021-06-01 12:05:54	0.19
50	2021-06-01 12:05:55	0.1
51	2021-06-01 12:05:56	0.16
52	2021-06-01 12:05:57	0.13
53	2021-06-01 12:05:58	-0.01
54	2021-06-01 12:05:59	0.06
55	2021-06-01 12:06:00	-0.01
56	2021-06-01 12:06:01	0.09
57	2021-06-01 12:06:02	0.13
58	2021-06-01 12:06:03	0.1
59	2021-06-01 12:06:04	0.23
60	2021-06-01 12:06:05	-0.02
61	2021-06-01 12:06:06	6.34
62	2021-06-01 12:06:07	16.72
63	2021-06-01 12:06:08	16.96
64	2021-06-01 12:06:09	16.22
65	2021-06-01 12:06:10	9.51
66	2021-06-01 12:06:11	-0.88
67	2021-06-01 12:06:12	-1.2
68	2021-06-01 12:06:13	-0.17
69	2021-06-01 12:06:14	0.18
70	2021-06-01 12:06:15	0.29
71	2021-06-01 12:06:16	0.27
72	2021-06-01 12:06:17	0.23
73	2021-06-01 12:06:18	0.28
74	2021-06-01 12:06:19	0.28
75	2021-06-01 12:06:20	0.29
76	2021-06-01 12:06:21	0.23
77	2021-06-01 12:06:22	0.18
78	2021-06-01 12:06:23	0.08
79	2021-06-01 12:06:24	0.16
80	2021-06-01 12:06:25	0.18
81	2021-06-01 12:06:26	0.19
82	2021-06-01 12:06:28	0.2
83	2021-06-01 12:06:29	0.19
84	2021-06-01 12:06:30	0.2
85	2021-06-01 12:06:31	0.09
86	2021-06-01 12:06:32	3.06
87	2021-06-01 12:06:33	11.92
88	2021-06-01 12:06:34	19.89
89	2021-06-01 12:06:35	19.66
90	2021-06-01 12:06:36	15.89
91	2021-06-01 12:06:37	6.75
92	2021-06-01 12:06:38	-1.15
93	2021-06-01 12:06:39	-0.83
94	2021-06-01 12:06:40	-0.26
95	2021-06-01 12:06:41	0.26
96	2021-06-01 12:06:42	0.28
97	2021-06-01 12:06:43	0.32
98	2021-06-01 12:06:44	0.18
99	2021-06-01 12:06:45	0.17
100	2021-06-01 12:06:46	0.27
101	2021-06-01 12:06:47	0.25
102	2021-06-01 12:06:48	0.3
103	2021-06-01 12:06:49	0.2
104	2021-06-01 12:06:50	0.11
105	2021-06-01 12:06:51	0.03
106	2021-06-01 12:06:52	-0.03
107	2021-06-01 12:06:53	0.01
108	2021-06-01 12:06:54	0.08
109	2021-06-01 12:06:55	0.15
110	2021-06-01 12:06:56	0.22
111	2021-06-01 12:06:57	0.25
112	2021-06-01 12:06:58	0.13
113	2021-06-01 12:06:59	0.63
114	2021-06-01 12:07:00	16.4
115	2021-06-01 12:07:01	21.03
116	2021-06-01 12:07:02	20.07
117	2021-06-01 12:07:03	19.3
118	2021-06-01 12:07:04	12.28
119	2021-06-01 12:07:05	-2.04
120	2021-06-01 12:07:06	-1.09
121	2021-06-01 12:07:07	0.06
122	2021-06-01 12:07:08	0.28
123	2021-06-01 12:07:09	0.23
124	2021-06-01 12:07:10	0.25
125	2021-06-01 12:07:11	0.18
126	2021-06-01 12:07:12	0.23
127	2021-06-01 12:07:13	0.32
128	2021-06-01 12:07:14	0.17
129	2021-06-01 12:07:15	0.14
130	2021-06-01 12:07:16	-0.01
