Etime	Time	CO2 (µmol/mol)
0	2021-06-01 12:36:11	0.24
1	2021-06-01 12:36:12	0.27
2	2021-06-01 12:36:13	0.18
3	2021-06-01 12:36:14	0.25
4	2021-06-01 12:36:15	0.17
5	2021-06-01 12:36:16	0.1
6	2021-06-01 12:36:17	0.19
7	2021-06-01 12:36:18	0.04
8	2021-06-01 12:36:19	0.15
9	2021-06-01 12:36:20	0.11
--------------------------------------------------------------
X23C
--------------------------------------------------------------
10	2021-06-01 12:36:21	0.12
11	2021-06-01 12:36:22	0.2
12	2021-06-01 12:36:23	0.2
13	2021-06-01 12:36:24	0.16
14	2021-06-01 12:36:25	0.17
15	2021-06-01 12:36:26	0.19
16	2021-06-01 12:36:27	0.21
17	2021-06-01 12:36:28	0.29
18	2021-06-01 12:36:29	0.3
19	2021-06-01 12:36:30	0.22
20	2021-06-01 12:36:31	0.19
21	2021-06-01 12:36:32	0.17
22	2021-06-01 12:36:33	0.17
23	2021-06-01 12:36:34	0.19
24	2021-06-01 12:36:35	0.17
25	2021-06-01 12:36:36	0.17
26	2021-06-01 12:36:37	0.11
27	2021-06-01 12:36:38	0.1
28	2021-06-01 12:36:39	0.13
29	2021-06-01 12:36:40	0.11
30	2021-06-01 12:36:41	0.08
31	2021-06-01 12:36:42	0.08
32	2021-06-01 12:36:43	0.19
33	2021-06-01 12:36:44	0.21
34	2021-06-01 12:36:45	0.25
35	2021-06-01 12:36:46	0.33
36	2021-06-01 12:36:47	0.26
37	2021-06-01 12:36:48	-0.07
38	2021-06-01 12:36:49	4.62
39	2021-06-01 12:36:50	68.6
40	2021-06-01 12:36:51	73.18
41	2021-06-01 12:36:52	70.37
42	2021-06-01 12:36:53	64.98
43	2021-06-01 12:36:54	1.37
44	2021-06-01 12:36:55	-2.7
45	2021-06-01 12:36:56	0.98
46	2021-06-01 12:36:57	2.1
47	2021-06-01 12:36:58	2.08
48	2021-06-01 12:36:59	1.76
49	2021-06-01 12:37:00	1.57
50	2021-06-01 12:37:01	1.34
51	2021-06-01 12:37:02	1.15
52	2021-06-01 12:37:03	1.04
53	2021-06-01 12:37:04	0.88
54	2021-06-01 12:37:05	0.81
55	2021-06-01 12:37:06	0.8
56	2021-06-01 12:37:07	0.68
57	2021-06-01 12:37:08	0.55
58	2021-06-01 12:37:09	0.62
59	2021-06-01 12:37:10	0.39
60	2021-06-01 12:37:11	0.41
61	2021-06-01 12:37:12	0.43
62	2021-06-01 12:37:13	0.32
63	2021-06-01 12:37:14	0.38
64	2021-06-01 12:37:15	0.35
65	2021-06-01 12:37:16	0.28
66	2021-06-01 12:37:17	0.24
67	2021-06-01 12:37:18	0.24
68	2021-06-01 12:37:19	0.26
69	2021-06-01 12:37:20	0.29
70	2021-06-01 12:37:21	0.27
71	2021-06-01 12:37:22	0.18
72	2021-06-01 12:37:23	0.09
73	2021-06-01 12:37:24	0.03
74	2021-06-01 12:37:25	-0.36
75	2021-06-01 12:37:26	16.55
76	2021-06-01 12:37:27	32.42
77	2021-06-01 12:37:28	37.55
78	2021-06-01 12:37:29	35.02
79	2021-06-01 12:37:30	31.85
80	2021-06-01 12:37:31	1.93
81	2021-06-01 12:37:32	-3.08
82	2021-06-01 12:37:33	-0.5
83	2021-06-01 12:37:34	0.41
84	2021-06-01 12:37:35	0.55
85	2021-06-01 12:37:36	0.48
86	2021-06-01 12:37:37	0.49
87	2021-06-01 12:37:38	0.45
88	2021-06-01 12:37:39	0.44
89	2021-06-01 12:37:40	0.43
90	2021-06-01 12:37:41	0.28
91	2021-06-01 12:37:42	0.3
92	2021-06-01 12:37:44	0.22
93	2021-06-01 12:37:44	0.22
94	2021-06-01 12:37:45	0.36
95	2021-06-01 12:37:46	0.28
96	2021-06-01 12:37:48	0.32
97	2021-06-01 12:37:49	0.26
98	2021-06-01 12:37:50	0.31
99	2021-06-01 12:37:51	0.36
100	2021-06-01 12:37:52	0.05
101	2021-06-01 12:37:53	3.36
102	2021-06-01 12:37:54	40.43
103	2021-06-01 12:37:55	60.48
104	2021-06-01 12:37:56	57.53
105	2021-06-01 12:37:57	52.22
106	2021-06-01 12:37:58	14.72
107	2021-06-01 12:37:59	-5.33
108	2021-06-01 12:38:00	-2.02
109	2021-06-01 12:38:01	0.05
110	2021-06-01 12:38:02	0.55
111	2021-06-01 12:38:03	0.53
112	2021-06-01 12:38:04	0.5
113	2021-06-01 12:38:05	0.37
114	2021-06-01 12:38:06	0.32
115	2021-06-01 12:38:07	0.35
116	2021-06-01 12:38:08	0.3
117	2021-06-01 12:38:09	0.35
118	2021-06-01 12:38:10	0.34
119	2021-06-01 12:38:11	0.21
120	2021-06-01 12:38:12	0.36
121	2021-06-01 12:38:13	0.33
122	2021-06-01 12:38:14	0.3
123	2021-06-01 12:38:15	0.28
124	2021-06-01 12:38:16	0.09
125	2021-06-01 12:38:17	0.17
126	2021-06-01 12:38:18	0.19
127	2021-06-01 12:38:19	0.25
128	2021-06-01 12:38:20	-1.3
129	2021-06-01 12:38:21	30.39
130	2021-06-01 12:38:22	50.95
131	2021-06-01 12:38:23	48.12
132	2021-06-01 12:38:24	47.75
